q	pval	rep	L	contrast	phenotype	covar	pc
4.33138140350795	1.48176752677271e-05	A3	1000	east	StandingHeight_50	no-FGr	0.
0.707407693926114	0.479313156975157	A3	1000	east	StandingHeight_50	no-FGr	40.
-2.03860206652584	0.0414897588281394	A3	1000	north	StandingHeight_50	no-FGr	0.
-0.705638107163406	0.480413219841556	A3	1000	north	StandingHeight_50	no-FGr	40.
4.33138140350795	1.48176752677271e-05	A3	10000	east	StandingHeight_50	no-FGr	0.
0.707407693926114	0.479313156975157	A3	10000	east	StandingHeight_50	no-FGr	40.
-2.03860206652584	0.0414897588281394	A3	10000	north	StandingHeight_50	no-FGr	0.
-0.705638107163406	0.480413219841556	A3	10000	north	StandingHeight_50	no-FGr	40.
4.33138140350795	1.48176752677271e-05	A3	1e+05	east	StandingHeight_50	no-FGr	0.
0.707407693926114	0.479313156975157	A3	1e+05	east	StandingHeight_50	no-FGr	40.
-2.03860206652584	0.0414897588281394	A3	1e+05	north	StandingHeight_50	no-FGr	0.
-0.705638107163406	0.480413219841556	A3	1e+05	north	StandingHeight_50	no-FGr	40.
4.33138140350795	1.48176752677271e-05	A3	1e+06	east	StandingHeight_50	no-FGr	0.
0.707407693926114	0.479313156975157	A3	1e+06	east	StandingHeight_50	no-FGr	40.
-2.03860206652584	0.0414897588281394	A3	1e+06	north	StandingHeight_50	no-FGr	0.
-0.705638107163406	0.480413219841556	A3	1e+06	north	StandingHeight_50	no-FGr	40.
2.00730616806301	0.0447170728004386	A3	1000	east	StandingHeight_50	FGr-LOCO	0.
0.692010517430668	0.488930724122435	A3	1000	east	StandingHeight_50	FGr-LOCO	40.
-0.847446584592795	0.396746248173586	A3	1000	north	StandingHeight_50	FGr-LOCO	0.
-0.678479487956906	0.497467725090746	A3	1000	north	StandingHeight_50	FGr-LOCO	40.
-1.77790498783427	0.0754194608973374	A3	10000	east	StandingHeight_50	FGr-LOCO	0.
0.765400235379882	0.44403325285201	A3	10000	east	StandingHeight_50	FGr-LOCO	40.
1.78560789949039	0.0741627669692735	A3	10000	north	StandingHeight_50	FGr-LOCO	0.
-0.680381870917844	0.496262697055553	A3	10000	north	StandingHeight_50	FGr-LOCO	40.
-2.36632474038698	0.0179656781491258	A3	1e+05	east	StandingHeight_50	FGr-LOCO	0.
0.819684321611717	0.412396090098987	A3	1e+05	east	StandingHeight_50	FGr-LOCO	40.
2.52344251896719	0.0116212057846626	A3	1e+05	north	StandingHeight_50	FGr-LOCO	0.
-0.701608241884085	0.482923510297097	A3	1e+05	north	StandingHeight_50	FGr-LOCO	40.
-2.30721088755711	0.0210430664326157	A3	1e+06	east	StandingHeight_50	FGr-LOCO	0.
0.911907445800768	0.361817441634812	A3	1e+06	east	StandingHeight_50	FGr-LOCO	40.
2.39036400026856	0.0168316816546486	A3	1e+06	north	StandingHeight_50	FGr-LOCO	0.
-0.676685074101365	0.498605788582722	A3	1e+06	north	StandingHeight_50	FGr-LOCO	40.
