q	p	phenotype	covar	pc	contrast
-1.99934540973864	0.045570994102272	Cholesterol_Normalized_30690	TRUE	0	sds.all-PC0.results
0.384826088266543	0.700366269212484	AspartateAminotransferase_Normalized_30650	TRUE	0	sds.all-PC0.results
-2.75315089831877	0.00590246834362053	HDL_Normalized_30760	TRUE	0	sds.all-PC0.results
3.27932196850556	0.00104056842699335	BasophillPercentage_Normalized_30220	TRUE	0	sds.all-PC0.results
3.11698702137439	0.00182709615608441	BodyWeight_Normalized_21002	TRUE	0	sds.all-PC0.results
-1.01952934450368	0.30795172923818	Triglycerides_Normalized_30870	TRUE	0	sds.all-PC0.results
3.37760470028522	0.000731201109542575	BirthWeight_Normalized_20022	TRUE	0	sds.all-PC0.results
0.838649111653189	0.40166624257061	EosinophillPercentage_Normalized_30210	TRUE	0	sds.all-PC0.results
2.79774717844606	0.0051460375504099	BMI_Normalized_21001	TRUE	0	sds.all-PC0.results
2.71255606280284	0.00667664863601445	StandingHeight_Normalized_50	TRUE	0	sds.all-PC0.results
2.02356326575906	0.0430151078931689	SystolicBloodPressure_Normalized_4080	TRUE	0	sds.all-PC0.results
0.308573808734129	0.757645746786373	PlateletCount_Normalized_30080	TRUE	0	sds.all-PC0.results
1.41744117077776	0.156353982775268	AlkalinePhosphatase_Normalized_30610	TRUE	0	sds.all-PC0.results
-1.07724792521367	0.281369519860376	LDL_Normalized_30780	TRUE	0	sds.all-PC0.results
-2.57906568214761	0.00990679479309392	TotalProtein_Normalized_30860	TRUE	0	sds.all-PC0.results
1.08234146882208	0.27910082591491	MeanCorpuscularVolume_Normalized_30040	TRUE	0	sds.all-PC0.results
-0.557025703245958	0.577509867949007	HbA1c_Normalized_30750	TRUE	0	sds.all-PC0.results
1.03020949229647	0.302911674735736	WaistCircumference_Normalized_48	TRUE	0	sds.all-PC0.results
3.06754789737366	0.00215822869866953	AgeOfMenarche_Normalized_2714	TRUE	0	sds.all-PC0.results
0.309756592167189	0.756746063483783	HipCircumference_Normalized_49	TRUE	0	sds.all-PC0.results
0.284321549428478	0.776163973247107	Glucose_Normalized_30740	TRUE	0	sds.all-PC0.results
1.02882934938964	0.303559872513008	MeanCorpuscularHaemoglobinConcentration_Normalized_30060	TRUE	0	sds.all-PC0.results
-1.65280298369778	0.0983709666611045	Cholesterol_Normalized_30690	TRUE	10	sds.all-PC10.results
-1.33062386975668	0.183312804316174	AspartateAminotransferase_Normalized_30650	TRUE	10	sds.all-PC10.results
-2.07726779361473	0.0377768498479497	HDL_Normalized_30760	TRUE	10	sds.all-PC10.results
0.374757694541827	0.70784067987795	BasophillPercentage_Normalized_30220	TRUE	10	sds.all-PC10.results
3.36997704089065	0.000751744468240378	BodyWeight_Normalized_21002	TRUE	10	sds.all-PC10.results
-1.4976662551338	0.134219983371388	Triglycerides_Normalized_30870	TRUE	10	sds.all-PC10.results
2.69857103916327	0.00696378733812601	BirthWeight_Normalized_20022	TRUE	10	sds.all-PC10.results
0.214312779247345	0.830303153150763	EosinophillPercentage_Normalized_30210	TRUE	10	sds.all-PC10.results
0.122478598275323	0.902519994475991	BMI_Normalized_21001	TRUE	10	sds.all-PC10.results
6.50158870596448	7.94761485425935e-11	StandingHeight_Normalized_50	TRUE	10	sds.all-PC10.results
0.192923764789453	0.847018673039479	SystolicBloodPressure_Normalized_4080	TRUE	10	sds.all-PC10.results
-0.360592771261897	0.718403893962037	PlateletCount_Normalized_30080	TRUE	10	sds.all-PC10.results
0.218842533389605	0.826772712982626	AlkalinePhosphatase_Normalized_30610	TRUE	10	sds.all-PC10.results
-0.732264367139842	0.464007223779218	LDL_Normalized_30780	TRUE	10	sds.all-PC10.results
-2.39641209477119	0.0165564642840116	TotalProtein_Normalized_30860	TRUE	10	sds.all-PC10.results
-0.96388633018521	0.335102918009601	MeanCorpuscularVolume_Normalized_30040	TRUE	10	sds.all-PC10.results
-1.37483370183203	0.169183007108856	HbA1c_Normalized_30750	TRUE	10	sds.all-PC10.results
0.453496711674639	0.650191110662644	WaistCircumference_Normalized_48	TRUE	10	sds.all-PC10.results
0.854674280814798	0.39273149262462	AgeOfMenarche_Normalized_2714	TRUE	10	sds.all-PC10.results
2.01931762945491	0.0434542166878119	HipCircumference_Normalized_49	TRUE	10	sds.all-PC10.results
0.51423238050413	0.607089531441447	Glucose_Normalized_30740	TRUE	10	sds.all-PC10.results
