r	r2	phenotype	covar	pc
0.293971286845751	0.086419117489747	Cholesterol_Normalized_30690	TRUE	0
0.130374854509488	0.0169976026883702	AspartateAminotransferase_Normalized_30650	TRUE	0
0.358126268387861	0.128254424109414	HDL_Normalized_30760	TRUE	0
0.0962145188268289	0.00925723363307822	BasophillPercentage_Normalized_30220	TRUE	0
0.308182032672094	0.0949761652619035	BodyWeight_Normalized_21002	TRUE	0
0.303214776893017	0.0919392009262818	Triglycerides_Normalized_30870	TRUE	0
0.162659848327021	0.0264582262577695	BirthWeight_Normalized_20022	TRUE	0
0.282378918887841	0.0797378538322661	EosinophillPercentage_Normalized_30210	TRUE	0
0.250143386399439	0.062571713759379	BMI_Normalized_21001	TRUE	0
0.200185854686057	0.040074376416387	StandingHeight_Normalized_50	TRUE	0
0.216497605280033	0.0468712130919892	SystolicBloodPressure_Normalized_4080	TRUE	0
0.369017980720543	0.136174270095067	PlateletCount_Normalized_30080	TRUE	0
0.340965122334037	0.116257214648265	AlkalinePhosphatase_Normalized_30610	TRUE	0
0.30629758406711	0.0938182100053483	LDL_Normalized_30780	TRUE	0
0.265211197457651	0.0703369792569212	TotalProtein_Normalized_30860	TRUE	0
0.352593243283864	0.124321995209434	MeanCorpuscularVolume_Normalized_30040	TRUE	0
0.240377011940398	0.0577811078693941	HbA1c_Normalized_30750	TRUE	0
0.268507140387368	0.0720960844390015	WaistCircumference_Normalized_48	TRUE	0
0.123086201857448	0.0151502130876923	AgeOfMenarche_Normalized_2714	TRUE	0
0.278598088593674	0.0776168949680488	HipCircumference_Normalized_49	TRUE	0
0.1075667677151	0.0115706095166743	Glucose_Normalized_30740	TRUE	0
0.118874369592025	0.0141311157459015	MeanCorpuscularHaemoglobinConcentration_Normalized_30060	TRUE	0
0.298808480110264	0.0892865077858063	Cholesterol_Normalized_30690	TRUE	10
0.128003926049911	0.016385005084191	AspartateAminotransferase_Normalized_30650	TRUE	10
0.374830436102445	0.140497855828749	HDL_Normalized_30760	TRUE	10
0.0878123041698846	0.00771100076362432	BasophillPercentage_Normalized_30220	TRUE	10
0.316478651778207	0.100158737031352	BodyWeight_Normalized_21002	TRUE	10
0.303161217351068	0.0919067237057816	Triglycerides_Normalized_30870	TRUE	10
0.154769370672927	0.0239535580984939	BirthWeight_Normalized_20022	TRUE	10
0.283728883053613	0.0805020790788506	EosinophillPercentage_Normalized_30210	TRUE	10
0.334751065314316	0.112058275729069	BMI_Normalized_21001	TRUE	10
0.386750816057113	0.149576193720843	StandingHeight_Normalized_50	TRUE	10
0.218078661635566	0.0475583026607597	SystolicBloodPressure_Normalized_4080	TRUE	10
0.410265775951262	0.168318006916891	PlateletCount_Normalized_30080	TRUE	10
0.341843861625001	0.116857225730693	AlkalinePhosphatase_Normalized_30610	TRUE	10
0.30555850706317	0.093366001238673	LDL_Normalized_30780	TRUE	10
0.266262380214496	0.0708956551174889	TotalProtein_Normalized_30860	TRUE	10
0.37210711062294	0.138463701776153	MeanCorpuscularVolume_Normalized_30040	TRUE	10
0.241078224300631	0.0581187102319453	HbA1c_Normalized_30750	TRUE	10
0.271290338909959	0.0735984479858802	WaistCircumference_Normalized_48	TRUE	10
0.116321424471546	0.0135306737910897	AgeOfMenarche_Normalized_2714	TRUE	10
0.305701638473647	0.0934534917654721	HipCircumference_Normalized_49	TRUE	10
0.107148739825021	0.0114808524460901	Glucose_Normalized_30740	TRUE	10
0.123455339830137	0.0152412209325746	MeanCorpuscularHaemoglobinConcentration_Normalized_30060	TRUE	10
0.298436106982526	0.0890641099508855	Cholesterol_Normalized_30690	TRUE	40
0.127706752505271	0.0163090146354427	AspartateAminotransferase_Normalized_30650	TRUE	40
0.375338621779418	0.140879080999273	HDL_Normalized_30760	TRUE	40
0.0862324521432077	0.00743603580263061	BasophillPercentage_Normalized_30220	TRUE	40
0.315599184704178	0.099602845385942	BodyWeight_Normalized_21002	TRUE	40
0.302772359913485	0.0916711019275808	Triglycerides_Normalized_30870	TRUE	40
0.156132203015267	0.0243772648184004	BirthWeight_Normalized_20022	TRUE	40
0.284193010875494	0.0807656674304784	EosinophillPercentage_Normalized_30210	TRUE	40
0.333330241649263	0.111109049997956	BMI_Normalized_21001	TRUE	40
0.385042023651541	0.148257359977674	StandingHeight_Normalized_50	TRUE	40
0.217676275732249	0.0473829610166622	SystolicBloodPressure_Normalized_4080	TRUE	40
0.41051267665368	0.168520657693369	PlateletCount_Normalized_30080	TRUE	40
0.341568126029683	0.116668784719429	AlkalinePhosphatase_Normalized_30610	TRUE	40
0.305967073449604	0.0936158500353155	LDL_Normalized_30780	TRUE	40
0.266590227306478	0.0710703492953194	TotalProtein_Normalized_30860	TRUE	40
0.371621169094405	0.138102293319092	MeanCorpuscularVolume_Normalized_30040	TRUE	40
0.241638787082763	0.0583893034228288	HbA1c_Normalized_30750	TRUE	40
0.270376902122785	0.073103669201514	WaistCircumference_Normalized_48	TRUE	40
0.114036087659499	0.0130042292886849	AgeOfMenarche_Normalized_2714	TRUE	40
0.304899750247277	0.0929638577008521	HipCircumference_Normalized_49	TRUE	40
0.107877956252646	0.0116376534452478	Glucose_Normalized_30740	TRUE	40
0.124328737277593	0.0154576349130408	MeanCorpuscularHaemoglobinConcentration_Normalized_30060	TRUE	40
